iter	Passed	Remaining
399	36382	54573
400	36470	54478
401	36557	54380
402	36641	54280
403	36722	54175
404	36819	54092
405	36906	53996
406	37002	53912
407	37097	53827
408	37175	53717
409	37263	53623
410	37353	53531
411	37441	53436
412	37536	53350
413	37651	53293
414	37750	53213
415	37872	53166
416	37976	53093
417	38064	52998
418	38150	52901
419	38245	52814
420	38348	52740
421	38474	52696
422	38576	52621
423	38675	52540
424	38781	52469
425	38880	52388
426	38982	52311
427	39088	52240
428	39188	52159
429	39283	52072
430	39386	51997
431	39489	51921
432	39591	51843
433	39679	51748
434	39778	51666
435	39887	51597
436	39982	51510
437	40090	51440
438	40197	51368
439	40291	51279
440	40384	51190
441	40490	51116
442	40582	51025
443	40667	50925
444	40761	50837
445	40862	50757
446	40962	50676
447	41068	50601
448	41158	50508
449	41258	50426
450	41362	50350
451	41459	50265
452	41557	50180
453	41647	50087
454	41741	49997
455	41834	49907
456	41918	49806
457	42031	49740
458	42106	49628
459	42190	49527
460	42279	49433
461	42363	49332
462	42454	49239
463	42544	49146
464	42634	49052
465	42719	48952
466	42807	48857
467	42894	48760
468	42984	48667
469	43073	48571
470	43154	48468
471	43250	48381
472	43332	48279
473	43417	48180
474	43508	48087
475	43591	47986
476	43681	47894
477	43774	47803
478	43890	47738
479	43999	47665
480	44095	47578
481	44193	47494
482	44298	47417
483	44408	47344
484	44518	47272
485	44624	47195
486	44724	47112
487	44817	47022
488	44904	46924
489	44994	46830
490	45078	46731
491	45161	46629
492	45249	46534
493	45334	46435
494	45425	46342
495	45510	46245
496	45596	46147
497	45686	46053
498	45777	45961
499	45861	45861
500	45944	45761
501	46030	45663
502	46112	45562
503	46195	45462
504	46284	45368
505	46368	45268
506	46456	45173
507	46541	45075
508	46630	44981
509	46717	44885
510	46805	44790
511	46889	44691
512	46980	44599
513	47068	44504
514	47152	44406
515	47239	44309
516	47313	44202
517	47399	44105
518	47482	44006
519	47604	43942
520	47695	43850
521	47784	43756
522	47875	43664
523	47965	43571
524	48054	43477
525	48137	43378
526	48223	43282
527	48317	43192
528	48427	43117
529	48521	43028
530	48607	42932
531	48700	42841
532	48785	42744
533	48873	42650
534	48962	42555
535	49047	42458
536	49134	42363
537	49227	42273
538	49319	42182
539	49404	42085
540	49498	41995
541	49584	41899
542	49668	41801
543	49758	41709
544	49852	41620
545	49936	41522
546	50024	41427
547	50106	41328
548	50190	41231
549	50277	41135
550	50367	41043
551	50452	40946
552	50537	40850
553	50626	40757
554	50712	40661
555	50802	40568
556	50873	40461
557	50959	40366
558	51041	40266
559	51128	40172
560	51214	40077
561	51297	39979
562	51385	39885
563	51476	39793
564	51560	39696
565	51649	39604
566	51741	39513
567	51828	39418
568	51913	39322
569	52004	39231
570	52077	39126
571	52154	39024
572	52243	38931
573	52326	38834
574	52399	38729
575	52493	38640
576	52595	38558
577	52686	38466
578	52789	38384
579	52894	38303
580	52989	38214
581	53070	38115
582	53158	38022
583	53241	37925
584	53331	37833
585	53425	37744
586	53516	37653
587	53598	37555
588	53681	37458
589	53793	37382
590	53895	37298
591	53996	37213
592	54087	37122
593	54179	37031
594	54275	36943
595	54391	36869
596	54486	36780
597	54581	36691
598	54681	36606
599	54789	36526
600	54895	36444
601	54995	36359
602	55088	36268
603	55182	36179
604	55290	36098
605	55391	36013
606	55492	35928
607	55582	35835
608	55673	35744
609	55774	35658
610	55878	35575
611	55987	35495
612	56076	35402
613	56174	35315
614	56268	35225
615	56362	35134
616	56453	35043
617	56545	34951
618	56651	34869
619	56752	34783
620	56853	34697
621	56947	34607
622	57040	34517
623	57132	34426
624	57237	34342
625	57340	34257
626	57433	34167
627	57548	34089
628	57671	34016
629	57767	33926
630	57862	33837
631	57960	33749
632	58058	33660
633	58136	33561
634	58220	33465
635	58296	33364
636	58385	33271
637	58492	33188
638	58588	33099
639	58691	33013
640	58784	32922
641	58878	32832
642	58965	32738
643	59049	32642
644	59142	32551
645	59235	32460
646	59327	32368
647	59410	32272
648	59496	32177
649	59576	32079
650	59658	31982
651	59750	31891
652	59839	31798
653	59926	31704
654	60012	31609
655	60117	31524
656	60215	31436
657	60317	31350
658	60418	31263
659	60513	31173
660	60615	31087
661	60722	31003
662	60830	30919
663	60914	30824
664	61007	30733
665	61095	30639
666	61169	30538
667	61257	30445
668	61337	30348
669	61421	30252
670	61505	30156
671	61593	30063
672	61674	29966
673	61765	29874
674	61850	29779
675	61935	29685
676	62025	29592
677	62112	29499
678	62224	29417
679	62321	29327
680	62420	29239
681	62512	29148
682	62598	29053
683	62684	28959
684	62779	28869
685	62881	28782
686	62993	28700
687	63096	28613
688	63184	28519
689	63289	28434
690	63406	28353
691	63503	28264
692	63589	28170
693	63673	28075
694	63766	27983
695	63852	27889
696	63941	27796
697	64030	27703
698	64118	27610
699	64227	27525
700	64334	27440
701	64427	27349
702	64516	27256
703	64595	27159
704	64674	27062
705	64751	26964
706	64842	26872
707	64925	26777
708	65007	26681
709	65095	26588
710	65187	26496
711	65263	26398
712	65350	26305
713	65437	26211
714	65518	26115
715	65599	26020
716	65679	25923
717	65760	25828
718	65843	25732
719	65929	25639
720	66029	25550
721	66132	25463
722	66239	25378
723	66340	25290
724	66434	25199
725	66520	25105
726	66605	25011
727	66688	24916
728	66774	24822
729	66853	24726
730	66939	24633
731	67026	24539
732	67113	24446
733	67200	24353
734	67293	24262
735	67398	24175
736	67491	24084
737	67584	23993
738	67689	23906
739	67797	23820
740	67895	23731
741	67976	23636
742	68066	23543
743	68156	23451
744	68245	23359
745	68331	23265
746	68421	23173
747	68506	23079
748	68616	22994
749	68698	22899
750	68779	22804
751	68863	22710
752	68955	22618
753	69035	22523
754	69132	22433
755	69212	22338
756	69303	22246
757	69394	22154
758	69578	22092
759	69707	22012
760	69847	21936
761	69946	21846
762	70057	21761
763	70160	21672
764	70260	21583
765	70357	21493
766	70456	21403
767	70560	21315
768	70664	21227
769	70769	21138
770	70873	21050
771	70973	20961
772	71067	20869
773	71172	20781
774	71275	20692
775	71378	20604
776	71478	20514
777	71574	20423
778	71668	20332
779	71756	20239
780	71842	20145
781	71937	20054
782	72029	19962
783	72126	19871
784	72221	19780
785	72321	19690
786	72390	19592
787	72490	19502
788	72591	19412
789	72693	19323
790	72788	19232
791	72887	19142
792	72990	19053
793	73084	18961
794	73184	18871
795	73270	18777
796	73359	18685
797	73454	18593
798	73547	18501
799	73639	18409
800	73732	18317
801	73814	18223
802	73898	18129
803	73981	18035
804	74065	17941
805	74147	17846
806	74232	17753
807	74318	17659
808	74398	17565
809	74482	17471
810	74567	17377
811	74655	17284
812	74740	17191
813	74821	17096
814	74904	17002
815	74985	16908
816	75067	16814
817	75147	16719
818	75226	16625
819	75309	16531
820	75388	16436
821	75468	16342
822	75552	16248
823	75632	16154
824	75729	16063
825	75830	15974
826	75921	15881
827	76013	15790
828	76110	15699
829	76213	15609
830	76314	15520
831	76414	15429
832	76511	15338
833	76595	15245
834	76679	15152
835	76762	15058
836	76849	14965
837	76933	14872
838	77001	14776
839	77083	14682
840	77170	14589
841	77256	14497
842	77350	14405
843	77434	14312
844	77523	14220
845	77610	14127
846	77695	14034
847	77812	13947
848	77878	13851
849	77961	13757
850	78042	13664
851	78124	13570
852	78206	13477
853	78294	13385
854	78378	13292
855	78468	13200
856	78569	13110
857	78667	13019
858	78756	12927
859	78839	12834
860	78929	12742
861	79018	12650
862	79102	12557
863	79190	12465
864	79279	12373
865	79365	12280
866	79449	12187
867	79529	12094
868	79616	12002
869	79704	11909
870	79791	11817
871	79859	11722
872	79947	11630
873	80030	11537
874	80117	11445
875	80206	11353
876	80291	11260
877	80382	11169
878	80466	11076
879	80554	10984
880	80638	10892
881	80720	10799
882	80803	10706
883	80887	10614
884	80970	10521
885	81053	10429
886	81139	10336
887	81225	10244
888	81313	10152
889	81396	10060
890	81481	9967
891	81565	9875
892	81647	9783
893	81738	9691
894	81823	9599
895	81909	9507
896	81988	9414
897	82075	9322
898	82161	9230
899	82247	9138
900	82330	9046
901	82412	8953
902	82502	8862
903	82583	8769
904	82665	8677
905	82759	8586
906	82843	8494
907	82933	8402
908	83025	8311
909	83115	8220
910	83203	8128
911	83289	8036
912	83375	7944
913	83457	7852
914	83548	7761
915	83636	7669
916	83722	7577
917	83807	7486
918	83893	7394
919	83975	7302
920	84052	7209
921	84133	7117
922	84221	7026
923	84308	6934
924	84390	6842
925	84474	6750
926	84558	6658
927	84643	6567
928	84732	6475
929	84815	6383
930	84907	6292
931	84992	6201
932	85079	6109
933	85159	6017
934	85245	5926
935	85327	5834
936	85388	5741
937	85473	5649
938	85568	5558
939	85646	5466
940	85751	5376
941	85844	5285
942	85941	5194
943	86036	5103
944	86132	5012
945	86236	4922
946	86336	4831
947	86436	4741
948	86534	4650
949	86638	4559
950	86738	4469
951	86836	4378
952	86925	4286
953	87029	4196
954	87134	4105
955	87213	4014
956	87284	3921
957	87376	3830
958	87453	3738
959	87552	3648
960	87647	3556
961	87723	3465
962	87828	3374
963	87946	3284
964	88037	3193
965	88151	3102
966	88242	3011
967	88342	2920
968	88435	2829
969	88535	2738
970	88641	2647
971	88755	2556
972	88848	2465
973	88941	2374
974	89034	2282
975	89126	2191
976	89222	2100
977	89318	2009
978	89408	1917
979	89494	1826
980	89585	1735
981	89692	1644
982	89772	1552
983	89855	1461
984	89938	1369
985	90023	1278
986	90102	1186
987	90195	1095
988	90280	1004
989	90357	912
990	90439	821
991	90493	729
992	90583	638
993	90667	547
994	90756	456
995	90843	364
996	90926	273
997	91013	182
998	91099	91
999	91183	0
